Wall time,Step,Value
1550556943.9278386,0,0.878933310508728
1550557016.1827338,1,0.9456306099891663
1550557086.4880722,2,0.9608321785926819
1550557157.833163,3,0.9767522215843201
1550557229.7077646,4,0.9782752394676208
1550557298.4742746,5,0.9802005887031555
1550557367.5874856,6,0.9832178950309753
1550557434.0945978,7,0.9871547818183899
1550557499.2954872,8,0.989137589931488
1550557570.2820923,9,0.9884766936302185
1550557643.7622786,10,0.9938791394233704
1550557722.4519317,11,0.9898560047149658
1550557798.7521355,12,0.9779016375541687
1550557871.7621138,13,0.9840512871742249
1550557951.8613164,14,0.9944538474082947
1550558030.5641468,15,0.9865513443946838
1550558102.4552937,16,0.9924997687339783
1550558181.9004343,17,0.9917813539505005
1550558256.752735,18,0.9929308295249939
1550558331.951338,19,0.9928446412086487
